Title,Location,lat,lon,Facility
Imaging Technician Aide,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Research Post Doctoral Fellow,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Manager Optometry,"Tustin, California",33.7458511,-117.826166,Kaiser Permanente
Neurodiagnostic Technologist,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Surgical First Assistant,"Lone Tree, Colorado",39.5363,-104.8855,Kaiser Permanente
"Manager, Clinic Department RN","Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Licensed Practical Nurse,"Kennesaw, Georgia",34.0234337,-84.6154897,Kaiser Permanente
Level III Staff RN - Riverside - Cardiology - PT (20) - Temporary - 8:00 AM - 4:30 PM,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
"Home Health Aide - On Call, Day Shift - San Jose","San Jose, California",37.3382,-121.8863,Kaiser Permanente
"Home Health Aide - Temporary, Day Shift - Vallejo","Vallejo, California",38.1041,-122.2566,Kaiser Permanente
"Home Health Aide - On Call, Day Shift - Santa Clara","Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
"Home Health Aide - On Call, Day Shift - Santa Rosa","Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Radiologic Technologist II- On Call,"Vacaville, California",38.3565773,-121.9877444,Kaiser Permanente
Health Educator I - IBCLC Certification Required,"Manteca, California",37.81623435,-121.2217882,Kaiser Permanente
Monitor Technician,"Fresno, California",36.7394421,-119.78483,Kaiser Permanente
LVN - Rancho San Diego MOB - Family Medicine-Regular Clinic - Part time,"La Mesa, California",32.7678288,-117.0230839,Kaiser Permanente
Nuclear Med Tech PET-CT - 20 hours,"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Staff Nurse II (NICU),"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Lvl II Staff RN - Clinic - Part Time - Pediatrics - West Los Angeles,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Medical Assistant II,"Palm Desert, California",33.7288179,-116.382571,Kaiser Permanente
Patient Care Coordinator/Case Manager - Santa Clara Discharge Planning (Day/On-call),"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Admitting Clerk,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"RN, SPA/ PACU, Interstate (40 hrs, day)","Portland, Oregon",45.5051,-122.675,Kaiser Permanente
OB/GYN Diagnostic Imaging Sonographer,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Staff Nurse RN - Injection Room (32 hours Everett),"Everett, Washington",47.9673056,-122.201399,Kaiser Permanente
LVN -Outpatient- Lvl II - Riverside Med Center - Orthopedics-Regular Clinic - On Call,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
Physical Therapist,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
"Assistant Nurse Manager, Nursing Administration PT Nights 10hr","Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Licensed Optician Dispensing (40 hours Tacoma),"Tacoma, Washington",47.2455013,-122.438329,Kaiser Permanente
"Nursing Shift Supervisor, Per Diem Nights","Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
"Director, Internal Audit - Healthcare","Oakland, California",37.8044,-122.2712,Kaiser Permanente
Supervisor Admitting,"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Support Services Administration Officer,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Diagnostic Imaging Sonographer,"Bakersfield, California",35.3738712,-119.0194639,Kaiser Permanente
Diagnostic Imaging Sonographer,"Bakersfield, California",35.3738712,-119.0194639,Kaiser Permanente
Echocardiograph Technologist I,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Specialty Unit Staff RN - LABOR & DELIVERY,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Health Care Navigator,"Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
Specialty Unit Staff RN - Hospital (Labor & Delivery),"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
"Patient Access Services Clerk; Full-time, Evening, MMMC","Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
"Assistant Nurse Manager, Stroke Telemetry FT Nights 12hr","Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Radiologic Technologist-On Call/PRN,"Denver, Colorado",39.7392364,-104.984862,Kaiser Permanente
"UM Nurse Manager II, Hospital","Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Endoscopy/Gastrointestinal Technician,"Lone Tree, Colorado",39.5363,-104.8855,Kaiser Permanente
Nursing House Supervisor,"South San Francisco, California",37.6535403,-122.4168664,Kaiser Permanente
Invasive Cardiovascular Specialist,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Radiologic Technologist IV - Mammography,"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Sr. Laboratory Assistant,"Kapolei, Hawaii",21.3340079,-158.077849,Kaiser Permanente
Specialty Unit Staff RN - Hospital,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Material Customer Service Associate,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
Material Customer Service Associate,"Kailua-Kona, Hawaii",19.6399,-155.9969,Kaiser Permanente
Medical Assistant,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Medical Assistant - Primary Care,"Silverdale, Washington",47.6594091,-122.6766317,Kaiser Permanente
Specialty Unit Staff RN - Hospital,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Level III Staff RN - Irvine - Ambulatory Infusion - Per Diem (0) - 8:00 AM - 4:30 PM,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Sterile Processing Technician - On Call (20hrs / wk) - Fontana Med Ctr,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Senior Physical Therapist- Pelvic Health Specialty,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
"Staff Nurse, ICU, 32-hour, night, Oakland","Oakland, California",37.8044,-122.2712,Kaiser Permanente
"Staff Nurse II, ICU, 24-hour, Eve, Richmond","Richmond, California",37.9358,-122.3478,Kaiser Permanente
"Staff Nurse II, ICU, 24 hour, Day, Richmond","Richmond, California",37.9358,-122.3478,Kaiser Permanente
"Staff Nurse II, ICU, 24 hour, Eve, Richmond","Richmond, California",37.9358,-122.3478,Kaiser Permanente
Staff RN - Post Partum/Downey,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Sp Unit Staff RN - PICU/Downey,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Addiction Medicine Therapist - LMFT, LCSW, LPCC","Lancaster, California",34.7039,-1181481,Kaiser Permanente
Nursing Supervisor Staff Development Education Training,"Kula, Hawaii",20.7902,-156.3261,Kaiser Permanente
LVN II - Baldwin Park - Ob/Gyn - On call - Day,"Baldwin Park, California",34.0854739,-117.9611761,Kaiser Permanente
"Behavioral Health Therapist - LMFT, LCSW, LPCC","Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Industrial Report Billing,"San Bruno, California",37.6261715,-122.433243,Kaiser Permanente
Dedicated Perinatal Sonographer II,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Dedicated Perinatal Sonographer I,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Dedicated Perinatal Sonographer I,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Linen Room Attendant,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
ER Technician,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Medical Social Worker II - Grade 10,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
EKG Technician,"Vacaville, California",38.3565773,-121.9877444,Kaiser Permanente
Dedicated Perinatal Sonographer II,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Senior Surgical Technician,"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Occupational Health Service Claims Processor I (Bilingual),"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Housekeeping Attendant,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Patient Care Coordinator/Case Manager - San Jose Discharge Planning (Day/On-call),"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Pharmacist,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Staff Nurse II ICU 24/Day Antioch,"Antioch, California",38.0049214,-121.805789,Kaiser Permanente
Staff Nurse - Transitional Care,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
Senior Clinical Lab Scientist,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
EVS Technician,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Certified Nursing Assistant,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Staff Nurse II ICU 28/DAY Antioch,"Antioch, California",38.0049214,-121.805789,Kaiser Permanente
"Physician Assistant II / NP II - Orthopedics, Per Diem","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
LPN - Clinic II (Meds),"Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
"Supervisor, Pharmacy Care Delivery, Acute Care Pharmacy","Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Sterile Processing Tech II - South Bay 7am FT,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Pathology Assistant,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
Associate Therapist / Psychiatric Counselor / Laguna Hills / Full-Time,"Laguna Hills, California",33.5948758,-117.6882067,Kaiser Permanente
Home Health Nurse II,"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Lifestyle Educator II,"Corona, California",33.8752945,-117.5664449,Kaiser Permanente
LVN II - On Call Days,"Gardena, California",33.8815702,-118.2918113,Kaiser Permanente
Manager Optical Planning - Manufacturing,"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Mammographer - 24 hours,"Daly City, California",37.6904826,-122.47267,Kaiser Permanente
"Data Reporting and Analytics Consultant VI - Financial Reporting, Cognos","Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Summer Intern,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Advanced Urgent Care RN - 36 hours Bellevue 10:00am-10:30pm,"Bellevue, Washington",47.6144219,-122.192337,Kaiser Permanente
LVN I - Orchard - Endocrinology - On call - Day,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Sonographer II - On Call,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
"Manager RN, Utilization Management Acute Care (Downey)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Staff Nurse II Short Hour - Emergency Department (On / Call Position),"Antioch, California",38.0049214,-121.805789,Kaiser Permanente
RN Interventional Radiology 4-10's Capitol Hill,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
RN Hospital Float Pool 3-12 Nights Capitol Hill,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
RN Hospital Float Pool 3-12 Days Capitol Hill Seattle,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
"Occupational Therapist, Hand Therapy","San Jose, California",37.3382,-121.8863,Kaiser Permanente
Outpatient Pharmacy Technician (On-Call),"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
"Behavioral Health Therapist - LCSW, LPCC, LMFT, Flex Schedule","Simi Valley, California",34.2677404,-118.7538071,Kaiser Permanente
Manager Medical Social Work Services,"Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
Lift Technician,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
"Assistant Nurse Manager, Med Surg Telemetry FT Nights 10hr","Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Surg Tech II - Full Time Evening - San Diego Med Ctr - OR,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Sp Unit Staff RN - Hospital,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Specialty Unit Staff RN - ICU,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sp Unit Staff RN - ICU,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Inpatient Pharmacist Specialist - Full Time Night Shift - Fontana,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Hospital Aide - Skilled Nursing Facility,"Kula, Hawaii",20.7902,-156.3261,Kaiser Permanente
Wound Ostomy Continence-PD,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
"Training Delivery Educator III, Software/System Application Training - NE","Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
Department Clerk,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"Staff Nurse II, Med/Surg, 24 hour, Eve, Richmond","Richmond, California",37.9358,-122.3478,Kaiser Permanente
Lvl III Staff RN (Hospital) - ICU,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Staff Nurse II SH - Psych Department (Short Hour - On / Call Position),"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Consultant V - Revenue Cycle,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Monitor Technician,"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Housekeeping Aide,"Longview, Washington",46.1382,-122.9382,Kaiser Permanente
Senior OB Technician,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
"Staff Nurse II SH, Operating Room, Day, Oncall, Richmond","Richmond, California",37.9358,-122.3478,Kaiser Permanente
"Staff Nurse II, Recovery, Day, 40 hour, Oakland","Oakland, California",37.8044,-122.2712,Kaiser Permanente
Patient Care Technician,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Patient Care Technician,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
RN Medical Surgical Telemetry 3-12 Nights Capitol Hill Seattle,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Operating Engineer - Plant,"Panorama City, California",34.2242902,-118.4453745,Kaiser Permanente
Staff Nurse II Float - Oakland Med/Tele (Day/On-call),"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Clinical Consultant II,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Inpatient Pharmacist Specialist - Part Time Variable Shift - Fontana,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Step Down Unit RN-L2,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
"Occupational Therapist II, Hand, Full-Time","Lutherville-Timonium, Maryland",0,0,Kaiser Permanente
Supervisor Sterile Processing - Evenings,"Manteca, California",37.81623435,-121.2217882,Kaiser Permanente
SPD Instrument Technician II - On Call - San Diego Med Ctr,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Licensed Psychiatric Technician,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Medical Assistant,"Everett, Washington",47.9673056,-122.201399,Kaiser Permanente
Research Associate I- Part Time,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Staff Nurse II -  Radiology-Interventional (Short Hour - On / Call Position),"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Staff Nurse II - Emergency Department,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Staff Nurse II - Emergency Department,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Staff Nurse II - Emergency Department,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Monitor Technician,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Occupational Health Technician Certified,"Dublin, California",37.7022,-121.9358,Kaiser Permanente
Housekeeping Aide,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
EKG Technician,"Fresno, California",36.7394421,-119.78483,Kaiser Permanente
Operating Room Scheduling Clerk G6,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Medical Assistant (Float),"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Housekeeping Aide,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Administrative Coordinator III,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Diagnostic Imaging Technologist-MRI,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Dedicated Specialty Sonographer II- Pediatrics,"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Storekeeper II (On-Call),"Redwood City, California",37.4863239,-122.232523,Kaiser Permanente
"Business Strategy Manager, Market Messaging & Engagement (Managerial Consultant IV)","Oakland, California",37.8044,-122.2712,Kaiser Permanente
Radiologic Technologist - Call-in/On-Call - San Marcos,"San Marcos, California",33.1434,-117.1661,Kaiser Permanente
Home Health Occupational Therapist,"Granada Hills, California",34.2661558,-118.5174342,Kaiser Permanente
Physical Therapist,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Laboratory Technician,"Denver, Colorado",39.7392364,-104.984862,Kaiser Permanente
Psychologist - Adult ASD,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Physical Therapist,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
"Research Associate II, Oncology Clinical Trials (Durational with Benefits)","Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
"Director, Quality and Safety Oversight, Clinical Risk Management (KFH/HP)","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Senior Sales Executive IV - Group Sales,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Medical Technologist,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
Inpatient Pharmacy Technician (On-Call),"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Research Data Analyst - School of Medicine,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Medical Assistant,"Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Sp Unit Staff RN - LABOR & DELIVERY,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Lvl III Staff RN - LABOR & DELIVERY,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Staff RN - PEDIATRICS - TEMPORARY,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Housekeeping Attendant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sp Unit Staff RN - L&D FLOAT,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Charge RN - TEMPORARY PEDIATRICS,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Senior Surgical Technician - Eye Procedure Suite - On Call,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
"Manager, Clinic Department (Obstetrics, Perinatology, UroGyn and GynOnc)","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Sp Unit Staff RN - Hospital (Operating Room),"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Cook II,"Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
"Nursing Department Manager, Med Surg Telemetry Oncology FT Days","Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Health Educator II (Bilingual Spanish),"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Health Educator II (Bilingual),"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Lead Sterile Processing Tech II - South Bay 3pm FT,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
CRNA - S Sacramento - Full-time,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
CRNA - S Sacramento - Full-time,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Medical Office Assistant II,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"Research Associate II, Clinical Trials (Durational with Benefits)","Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
LVN-Home Health/Hospice/Palliative Care - Fontana Medical Center - Full Time,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Director of ARL and Risk Management (GSSA Service Area),"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Medical Social Worker II - Grade 10,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
LVN II Outpatient - Garfield Specialty Center - Urology-Regular Clinic - Part Time,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Senior OB Technician - Days - On Call,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
Senior OB Technician - Evenings - On Call,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
Sterile Processing Technician II Certified,"Rancho Cordova, California",38.5890723,-121.302728,Kaiser Permanente
LVN II - Orchard - Urgent care - Part time - Evening,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Cashier Receptionist G4 (On-Call),"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Cashier Receptionist G4 (On-Call),"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Nurse Practitioner - Medicare Wellness (Honolulu),"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
"Speech Clinical Fellowship Year Internship, Pediatrics","Antioch, California",38.0049214,-121.805789,Kaiser Permanente
"Intensive Outpatient Counselor, Chemical Dependency (40 Hours) Salem","Salem, Oregon",44.9429,-123.0351,Kaiser Permanente
"Nurse Manager II, Hospital (Med/Surg Oncology)","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
"Supervisor, Sterile Processing - Full Time Nights - Zion Med Ctr","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"Supervisor, Sterile Processing - Full Time Nights - San Diego Med Ctr","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"Sonographer, Diagnostic Cardiac, Sunnyside, Days, 20 hours","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Nurse Manager-Continuum of Care Outside Services,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
Nursing Attendant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Specialty Unit Staff RN - Hospital - SDU - Per Diem Days,"Baldwin Park, California",34.0854739,-117.9611761,Kaiser Permanente
Design & Delivery Consultant IV - Sales Training,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Design & Delivery Consultant V - Sales Training,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Level II Staff RN - Whittier - Pediatrics - PT (20) - Temporary - 8:30 AM - 12:30 PM,"Whittier, California",33.9749136,-118.0338664,Kaiser Permanente
Account Manager III,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
Senior Surgical Technician,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Sterile Processing Technician I - On-call - Day shift - San Jose,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Sterile Processing Tech II - LAMC 11pm FT,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sterile Processing Tech II - LAMC 3pm FT,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
SPD Instrument Technician II - On Call  - Zion Med Ctr,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"Clinical Nursing Supervisor, Care at Home","Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Admin Fellow,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Admin Fellow,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Admin Fellow,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Sterile Processing Technician II - Full Time Days - Anaheim Med Ctr,"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
Sterile Processing Tech II - LAMC 7am FT,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sterile Processing Tech II - LAMC 9am FT,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sterile Processing Technician I - On Call Days - Pan City Med Ctr,"Panorama City, California",34.2242902,-118.4453745,Kaiser Permanente
Mobility Tech II,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Cashier Receptionist G4 (On-Call),"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Sterile Processing Technician II - On Call Evening - Pan City Med Ctr,"Panorama City, California",34.2242902,-118.4453745,Kaiser Permanente
Sonographer III -30 hours,"South San Francisco, California",37.6535403,-122.4168664,Kaiser Permanente
Patient Care Technician,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
"Senior Physical Therapist, Chronic Pain","San Jose, California",37.3382,-121.8863,Kaiser Permanente
Sterile Processing Tech II - West LA 3pm  FT,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Acupuncturist,"Union City, California",37.5872576,-122.0215737,Kaiser Permanente
Acupuncturist,"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Nurse Manager II - Perinatology,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
"Certified Registered Nurse Anesthetist (CRNA), Downey (Full Time)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Graduate Registered Nurse Anesthetist (GRNA), Downey (Full Time)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Graduate Registered Nurse Anesthetist (GRNA), Downey (Full Time)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Graduate Registered Nurse Anesthetist (GRNA), Downey (Full Time)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Certified Registered Nurse Anesthetist (CRNA), Downey (Full Time)","Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Anesthesia Tech, KSMC (on call, variable)","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Hospital Nurse Manager I,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Respiratory Care Practitioner II Registered,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
"RN, Public Health-Hospice (Per Diem)","Portland, Oregon",45.5051,-122.675,Kaiser Permanente
"Addiction Medicine Therapist - LMFT, LCSW, LPCC - Part Time","Sylmar, California",34.3076252,-118.4492148,Kaiser Permanente
Senior Clinical Lab Scientist,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
RN Float - Peds/Mother Baby/Lactation (OnCall),"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Echocardiogram Technician- Per Diem - Riverside,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
"Director, Risk Adjustment Data Analytics & Reporting","Oakland, California",37.8044,-122.2712,Kaiser Permanente
Speech Language Pathologist SLP - Inpatient / Outpatient  Per Diem,"Baldwin Park, California",34.0854739,-117.9611761,Kaiser Permanente
Centrex Operator,"San Marcos, California",33.1434,-117.1661,Kaiser Permanente
Unit Secretary,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Diet Clerk,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Dedicated Specialty Sonographer II,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Laboratory Assistant II,"San Rafael, California",37.9747795,-122.5316686,Kaiser Permanente
Medical Office Assistant II,"Bonita, California",32.6577778,-117.03,Kaiser Permanente
Audiologist,"Union City, California",37.5872576,-122.0215737,Kaiser Permanente
Diagnostic Imaging Technologist-Radiologic III - Per Diem - Harbor City,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Emergency Department Technician II,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Surgical Technologist I - On Call - Garfield Specialty Center - Outpatient Surgery,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
CT Technologist-Seattle-Part Time,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
"Account Manager V, Commercial - National","Chicago, Illinois",41.8781,-87.6298,Kaiser Permanente
"Clinical Manager, Continuum of Care","Vancouver, Washington",49.2608724,-123.113952,Kaiser Permanente
Clinical Laboratory Scientist,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Senior Clinical Laboratory Scientist,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Clinical Laboratory Scientist,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Infection Preventionist V (KFH/HP),"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
"RN Oncology Case Manager (Per Diem, Days)","Portland, Oregon",45.5051,-122.675,Kaiser Permanente
RN - Podiatry (Skyline / OnCall),"Salem, Oregon",44.9429,-123.0351,Kaiser Permanente
